ID,STREET_NAME,X,Y,BUS_TRAM_NO
204401,"Ul./Pl.: Patriotów,",21.193289,52.179003,"['521', 'N22']"
204402,"Ul./Pl.: Patriotów,",21.193997,52.178467,"['521', 'N22']"
204501,"Ul./Pl.: Patriotów,",21.199204,52.173151,"['521', 'N22']"
204502,"Ul./Pl.: Patriotów,",21.198587,52.173884,"['521', 'N22']"
204601,"Ul./Pl.: Patriotów,",21.202347,52.170003,"['115', '142', '161', '521', 'N22']"
204602,"Ul./Pl.: Patriotów,",21.201265,52.171229,"['521', 'N22']"
204653,"Ul./Pl.: Patriotów,",21.202112,52.170344,"['115', '142', '161']"
204701,"Ul./Pl.: Patriotów,",21.207027,52.165321,"['115', '142', '161', '521', 'N22']"
204702,"Ul./Pl.: Patriotów,",21.205827,52.166678,"['115', '142', '161', '521', 'N22']"
204801,"Ul./Pl.: Patriotów,",21.211121,52.161193,"['115', '142', '161', '521', 'N22']"
204802,"Ul./Pl.: Bysławska,",21.210735,52.160841,"['213', 'N72', '213^']"
204804,"Ul./Pl.: Walcownicza,",21.213286,52.161314,"['115', '142', '213', 'N22']"
204805,"Ul./Pl.: Patriotów,",21.210651,52.161764,"['115', '142', '161', '521', 'N22']"
204807,"Ul./Pl.: Młoda,",21.211036,52.160190,"['146', '213', 'N72']"
204853,"Ul./Pl.: Walcownicza,",21.212982,52.161224,"['115', '142', '213', 'N22']"
204901,"Ul./Pl.: Walcownicza,",21.219689,52.163981,"['115', '142', '213', 'N22']"
204902,"Ul./Pl.: Walcownicza,",21.220792,52.165112,"['115', '142', '213', 'N22']"
205001,"Ul./Pl.: Techniczna,",21.224119,52.169250,"['115', '142', '213', 'N22']"
205002,"Ul./Pl.: Techniczna,",21.223832,52.168887,"['115', '142', '213', 'N22']"
205101,"Ul./Pl.: Techniczna,",21.226676,52.171497,"['115', '142', '213', 'N22']"
205102,"Ul./Pl.: Techniczna,",21.227044,52.171751,"['115', '142', '213', 'N22']"
205201,"Ul./Pl.: Bysławska,",21.203298,52.159477,"['146', '161', '213', 'N72']"
205202,"Ul./Pl.: Bysławska,",21.203497,52.159439,"['146', '213', 'N72']"
205203,"Ul./Pl.: Bysławska,",21.204682,52.159364,"['146^', '521', 'N22^', 'N72']"
205204,"Ul./Pl.: Bysławska,",21.204580,52.159459,['146']
205301,"Ul./Pl.: Bysławska,",21.197303,52.158438,"['146', '213', 'N72']"
205302,"Ul./Pl.: Bysławska,",21.197781,52.158472,"['146', '213', 'N72']"
