LINE_NUMBER,FROM,TO,FROM_STREET_NAME,TO_STREET_NAME
712,605001,602602,"Tołstoja,","Bogusławskiego,"
712,602602,602702,"Bogusławskiego,","Popiela,"
712,602702,602802,"Popiela,","Tytułowa,"
712,602802,602902,"Tytułowa,","Chabrowa,"
712,602902,603002,"Chabrowa,","Księżycowa,"
712,603002,603102,"Księżycowa,","Radiowo,"
712,603102,603202,"Radiowo,","Radiowo-Bocznica,"
712,603202,603302,"Radiowo-Bocznica,","Mościska,"
712,603302,612802,"Mościska,","Kampinoska,"
712,612802,619602,"Kampinoska,","Zorzy,                          KD 02  NŻ  |13|14|               ==== PRZYSTANEK GRANICZNY ====                                                       |  |  |               Ekologiczna,                    r"
712,619602,620902,"Zorzy,                          KD 02  NŻ  |13|14|               ==== PRZYSTANEK GRANICZNY ====                                                       |  |  |               Ekologiczna,                    r","Ekologiczna,                    KD 02  NŻ  |14|15|               ====== S T R E F A   2 =======                                                       |  |  |               Ekologiczna,                    r"
712,620902,611202,"Ekologiczna,                    KD 02  NŻ  |14|15|               ====== S T R E F A   2 =======                                                       |  |  |               Ekologiczna,                    r","Klaudyn,                        KD 02      |15|16|               Sikorskiego,                                                                         |  |  |"
712,611202,611302,"Klaudyn,                        KD 02      |15|16|               Sikorskiego,                                                                         |  |  |","Janów,                          JN 02  NŻ  |18|19|"
712,611302,611402,"Janów,                          JN 02  NŻ  |18|19|","Kwirynów,                       KR 02  NŻ  |20|21|"
712,611402,611501,"Kwirynów,                       KR 02  NŻ  |20|21|","Rynek,                          SB 01      |24|25|"
713,513801,519802,"AGRICOOP,                       KP 01      | 0| 0|               Rataja,                         r","Jaśminowa,                      KP 02  NŻ  | 1| 1|               Poznańska,                      r"
713,519802,513901,"Jaśminowa,                      KP 02  NŻ  | 1| 1|               Poznańska,                      r","Koprki,                         KP 01  NŻ  | 2| 2|"
713,513901,513701,"Koprki,                         KP 01  NŻ  | 2| 2|","Gołaszewska,                    OŁ 01  NŻ  | 3| 3|                                               r"
713,513701,514101,"Gołaszewska,                    OŁ 01  NŻ  | 3| 3|                                               r","Nizinna,                        OŁ 01  NŻ  | 4| 4|                                               r"
713,514101,514601,"Nizinna,                        OŁ 01  NŻ  | 4| 4|                                               r","Poznańska,                      OŁ 01  NŻ  | 5| 6|"
713,514601,513301,"Poznańska,                      OŁ 01  NŻ  | 5| 6|","Umiastowska,                    OM 01  NŻ  | 5| 7|                                               r"
713,513301,513201,"Umiastowska,                    OM 01  NŻ  | 5| 7|                                               r","Kierbedzia,                     OM 01  NŻ  | 7| 9|                                               r"
713,513201,513101,"Kierbedzia,                     OM 01  NŻ  | 7| 9|                                               r","3 Maja,                         OM 01      | 9|11|                                               r"
713,513101,513001,"3 Maja,                         OM 01      | 9|11|                                               r","Sanktuarium,                    OM 01      |10|13|                                               r"
713,513001,512901,"Sanktuarium,                    OM 01      |10|13|                                               r","Starostwo,                      OM 01      |12|16|"
713,512901,509101,"Starostwo,                      OM 01      |12|16|","Bronisze,                       BN 01      |15|20|"
713,509101,514001,"Bronisze,                       BN 01      |15|20|","Jawczyce,                       JC 01  NŻ  |16|22|"
713,514001,509001,"Jawczyce,                       JC 01  NŻ  |16|22|","Mory,                           MR 01      |17|24|"
713,509001,501601,"Mory,                           MR 01      |17|24|","Instytut Energetyki,"
713,501601,509201,"Instytut Energetyki,","Karolin,"
713,509201,511701,"Karolin,","Dostawcza,"
713,511701,519201,"Dostawcza,","Lazurowa,"
713,519201,501401,"Lazurowa,","Drzeworytników,"
713,501401,501301,"Drzeworytników,","Tkaczy,"
713,501301,501201,"Tkaczy,","Ciepłownia Wola,"
713,501201,500101,"Ciepłownia Wola,","Połczyńska-parking P+R,"
